<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.06.03	74488	74630	73420	73540	122049	310618	0
2015.06.05	72818	73323	72453	72603	112072	281927	0
2015.06.08	72529	73202	72367	72387	97868	243121	0
2015.06.09	72202	73053	72063	72558	112229	308701	0
2015.06.10	72954	74248	72954	74033	124513	324722	0
2015.06.11	73899	74582	73207	73622	121682	316671	0
2015.06.12	73474	73594	72614	73099	103639	270612	0
2015.06.15	72797	72902	71877	72902	103808	270761	0
2015.06.16	72769	73816	72626	73381	109842	294246	0
2015.06.17	73569	73686	72411	72411	114506	300903	0
2015.06.18	72735	74333	72633	74138	131704	368497	0
2015.06.19	73730	73886	73101	73326	112390	294162	0
2015.06.22	73771	74391	73376	73651	102955	266984	0
2015.06.23	73926	74308	73168	73168	96735	264886	0
2015.06.24	73205	74057	72962	73437	108275	290891	0
2015.06.25	73609	73702	72173	72743	115684	317249	0
2015.06.26	72694	73839	72309	73609	116953	323832	0
2015.06.29	72392	73352	71792	72417	130677	338707	0
2015.06.30	72775	72850	72007	72287	115990	295796	0
2015.07.01	72970	72998	71698	71948	117233	305438	0
2015.07.02	72144	72744	71869	72269	92480	232657	0
2015.07.03	72284	72312	71201	71426	57358	157006	0
2015.07.06	70873	71665	70235	71165	120508	338599	0
2015.07.07	70758	71306	69536	71231	143089	386567	0
2015.07.08	70529	71251	70116	70206	148492	379819	0
2015.07.10	71283	71782	70892	71337	102240	252234	0
2015.07.13	71753	72274	71399	72049	110580	284094	0
2015.07.14	71874	72540	71515	72250	94679	258618	0
2015.07.15	72305	72485	71630	72040	107289	288519	0
2015.07.16	72284	72525	71520	71970	101378	270157	0
2015.07.17	72022	72329	70774	70774	115336	321893	0
2015.07.20	70966	71112	69842	69977	101331	281328	0
2015.07.21	70011	70455	69500	69875	123561	351555	0
2015.07.22	69239	69400	68427	68867	95845	258131	0
2015.07.23	68680	69099	66894	66894	146148	400304	0
2015.07.24	66918	67321	65736	66601	148113	407063	0
2015.07.27	65969	66617	65742	66152	149836	405000	0
2015.07.28	66320	67355	65835	66995	187248	526957	0
2015.07.29	67113	67956	66611	67601	160509	430694	0
2015.07.30	67879	68402	66957	67242	142423	370408	0
2015.07.31	67342	68742	67192	68742	139222	383416	0
2015.08.03	68290	68317	67531	67781	118441	319411	0
2015.08.04	68094	68209	67234	67664	110950	298780	0
2015.08.05	67961	68583	67618	67678	113467	306001	0
2015.08.06	67355	68084	66769	67439	140955	377626	0
2015.08.07	67133	67371	65126	65126	140534	387570	0
2015.08.10	65203	66610	65189	66330	132188	354562	0
2015.08.11	65896	67299	64924	67034	141504	382407	0
2015.08.12	66301	66510	64570	65205	156277	415086	0
2015.08.13	65430	65608	64183	64193	143044	372146	0
