<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.10.20	09:00:00	76665	77282	76497	77112	2292	6496	0
2014.10.20	09:15:00	77102	77252	76922	76977	1888	4804	0
2014.10.20	09:30:00	76967	77082	76772	76817	2342	5653	0
2014.10.20	09:45:00	76802	76937	76662	76912	2150	5371	0
2014.10.20	10:00:00	76922	77187	76837	76837	4113	9752	0
2014.10.20	10:15:00	76832	77167	76687	77157	4264	9650	0
2014.10.20	10:30:00	77142	77162	76837	76887	3562	7797	0
2014.10.20	10:45:00	76882	76882	76317	76467	7822	17976	0
2014.10.20	11:00:00	76467	76642	75927	76282	9384	22404	0
2014.10.20	11:15:00	76282	76472	76032	76392	3788	9348	0
2014.10.20	11:30:00	76397	76512	75842	76122	8600	20897	0
2014.10.20	11:45:00	76122	76492	75937	76432	6180	14274	0
2014.10.20	12:00:00	76427	76492	76237	76332	5120	12015	0
2014.10.20	12:15:00	76342	76762	76332	76607	7345	18228	0
2014.10.20	12:30:00	76607	76632	76367	76577	3470	8741	0
2014.10.20	12:45:00	76587	76607	76312	76322	2790	6337	0
2014.10.20	13:00:00	76327	76537	76122	76487	3719	9121	0
2014.10.20	13:15:00	76482	76582	76377	76422	2621	6406	0
2014.10.20	13:30:00	76422	76627	76267	76322	3669	8986	0
2014.10.20	13:45:00	76332	76507	76322	76467	2010	4765	0
2014.10.20	14:00:00	76472	76482	76177	76242	3144	7587	0
2014.10.20	14:15:00	76237	76402	76207	76242	2563	6202	0
2014.10.20	14:30:00	76247	76247	75982	76022	3110	7142	0
2014.10.20	14:45:00	76017	76107	75807	75822	3335	7845	0
2014.10.20	15:00:00	75822	75992	75762	75937	3240	7252	0
2014.10.20	15:15:00	75932	76027	75777	75977	2979	6176	0
2014.10.20	15:30:00	75972	76012	75712	75832	3364	7273	0
2014.10.20	15:45:00	75827	76067	75792	75967	3242	7339	0
2014.10.20	16:00:00	75962	76222	75952	76177	3160	7075	0
2014.10.20	16:15:00	76177	76257	75647	75752	6517	16134	0
2014.10.20	16:30:00	75747	76192	75682	76012	5798	13944	0
2014.10.20	16:45:00	76007	76042	75582	75717	5264	13624	0
2014.10.20	17:00:00	75712	75772	75602	75762	3233	9780	0
2014.10.20	17:15:00	75762	75812	75682	75742	1617	4458	0
2014.10.20	17:30:00	75752	75787	75472	75702	2209	6734	0
2014.10.20	17:45:00	75712	76222	75657	76202	1269	3498	0
2014.10.20	18:00:00	76172	76172	76172	76172	214	1155	0
2014.10.21	09:00:00	73039	73271	72406	72531	4768	11631	0
2014.10.21	09:15:00	72536	72616	72366	72486	2630	6135	0
2014.10.21	09:30:00	72491	72526	72176	72296	2887	7272	0
2014.10.21	09:45:00	72286	72406	72226	72326	2046	5232	0
2014.10.21	10:00:00	72321	72586	72301	72461	4160	10004	0
2014.10.21	10:15:00	72466	72556	72116	72446	6065	14823	0
2014.10.21	10:30:00	72461	72736	72396	72711	4736	11163	0
2014.10.21	10:45:00	72706	72846	72606	72756	3478	8014	0
2014.10.21	11:00:00	72756	72841	72536	72581	4851	11193	0
